Team,Player,Birthplace,Latitude,Longitutde
Los Angeles Clippers,Marcus Morris,"Philadelphia, Pennsylvania","39°57'10""N","75°09'49""W"
Los Angeles Lakers,Dion Waiters,"Philadelphia, Pennsylvania","39°57'10""N","75°09'49""W"
Los Angeles Lakers,Markieff Morris,"Philadelphia, Pennsylvania","39°57'10""N","75°09'49""W"
Orlando Magic,BJ Johnson,"Philadelphia, Pennsylvania","39°57'10""N","75°09'49""W"
Phoenix Suns,Mikal Bridges,"Philadelphia, Pennsylvania","39°57'10""N","75°09'49""W"
Toronto Raptors,Kyle Lowry,"Philadelphia, Pennsylvania","39°57'10""N","75°09'49""W"
Denver Nuggets,Gary Harris,"Fishers, Indiana","39°57'22""N","86°00'46""W"
Brooklyn Nets,Caris LeVert,"Columbus, Ohio","39°57'44""N","83°00'02""W"
Portland TrailBlazers,Gary Trent Jr.,"Columbus, Ohio","39°57'44""N","83°00'02""W"
New York Knicks,Wayne Ellington,"Wynnewood, Pennsylvania","40°00'10""N","75°16'15""W"
Atlanta Hawks,Cam Reddish,"Norristown, Pennsylvania","40°07'12""N","75°20'30""W"
Minnesota Timberwolves,Naz Reid,"Asbury Park, New Jersey","40°13'22""N","74°00'37""W"
San Antonio Spurs,Lonnie Walker,"Reading, Pennsylvania","40°20'30""N","75°55'35""W"
Indiana Pacers,TJ McConnell,"Pittsburgh, Pennsylavnia","40°26'23""N","79°58'35""W"
Dallas Mavericks,Jalen Brunson,"New Brunswick, New Jersey","40°29'12""N","74°26'40""W"
Phoenix Suns,Cameron Johnson,"Moon Township, Pennsylvania","40°31'00""N","80°14'00""W"
Minnesota Timberwolves,Karl-Anthony Towns,"Edison, New Jersey","40°31'39""N","74°23'36""W"
Memphis Grizzlies,Jaren Jackson Jr.,"Plainfield, New Jersey","40°36'56""N","74°24'57""W"
Memphis Grizzlies,Kyle Anderson,"New York City, New York","40°39'40""N","73°56'38""W"
New York Knicks,Maurice Harkless,"New York City, New York","40°39'40""N","73°56'38""W"
Orlando Magic,Mohamed Bamba,"New York City, New York","40°39'40""N","73°56'38""W"
Phoenix Suns,Jalen Lecgue,"New York City, New York","40°39'40""N","73°56'38""W"
Phoenix Suns,Ty Jerome,"New York City, New York","40°39'40""N","73°56'38""W"
Portland TrailBlazers,Moses Brown,"New York City, New York","40°39'40""N","73°56'38""W"
Utah Jazz,Justin Wright-Foreman,"Laurelton, New York","40°40'30""N","73°44'42""W"
Los Angeles Clippers,Terance Mann,"Brooklyn, New York","40°41'34""N","73°59'25""W"
New York Knicks,Taj Gibson,"Brooklyn, New York","40°41'34""N","73°59'25""W"
Portland TrailBlazers,Carmelo Anthony,"Brooklyn, New York","40°41'34""N","73°59'25""W"
Philadelphia 76ers,Kyle O'Quinn,"Jamaica, New York","40°42'00""N","73°48'00""W"
Miami Heat,Bam Adebayo,"Newark, New Jersey","40°43'12""N","74°10'12""W"
Los Angeles Lakers,Danny Green,"North Babylon, New York","40°43'50""N","73°19'17""W"
Oklahoma City Thunder,Hamidou Diallo,"Queens, New York","40°45'00""N","73°52'00""W"
Philadelphia 76ers,Tobias Harris,"Islip, New York","40°45'24""N","73°11'56""W"
Detroit Pistons,Louis King,"Secaucus, New Jersey","40°46'55""N","74°04'04""W"
Portland TrailBlazers,CJ McCollum,"Canton, Ohio","40°48'18""N","81°22'33""W"
Boston Celtics,Kemba Walker,"Bronx, New York","40°50'14""N","73°53'10""W"
Orlando Magic,Jonathan Isaac,"Bronx, New York","40°50'14""N","73°53'10""W"
Cleveland Cavaliers,Andre Drummond,"Mount Vernon, New York","40°54'51""N","73°49'50""W"
Utah Jazz,Donovan Mitchell,"Elmsford, New York","41°03'18""N","73°49'12""W"
Cleveland Cavaliers,Larry Nance Jr.,"Akron, Ohio","41°04'23""N","81°31'04""W"
Golden State Warriors,Stephen Curry,"Akron, Ohio","41°04'23""N","81°31'04""W"
Los Angeles Lakers,LeBron James,"Akron, Ohio","41°04'23""N","81°31'04""W"
Atlanta Hawks,John Collins,"Layton, Utah","41°04'41""N","111°57'19""W"
Denver Nuggets,Mason Plumlee,"Fort Wayne, Indiana","41°04'50""N","85°08'21""W"
Golden State Warriors,Eric Paschall,"North Tarrytown, New York","41°05'31""N","73°51'52""W"
Charlotte Hornets,Terry Rozier,"Youngstown, Ohio","41°06'00""N","80°39'00""W"
Minnesota Timberwolves,James Johnson,"Cheyenne, Wyoming","41°08'24""N","104°49'13""W"
Indiana Pacers,Alize Johnson,"Williamsport, Pennsylvania","41°14'40""N","77°01'07""W"
Boston Celtics,Tremont Waters,"New Haven, Connecticut","41°18'36""N","72°55'25""W"
Milwaukee Bucks,DJ Wilson,"Mount Shasta, California","41°18'52""N","122°18'41""W"
Chicago Bulls,Kris Dunn,"New London, Connecticut","41°20'21""N","72°05'58""W"
Indiana Pacers,JaKarr Sampson,"Cleveland, Ohio","41°28'56""N","81°41'11""W"
Minnesota Timberwolves,Omari Spellman,"Cleveland, Ohio","41°28'56""N","81°41'11""W"
New Orleans Pelicans,E'Twaun Moore,"East Chicago, Indiana","41°29'20""N","87°27'44""W"
Golden State Warriors,Chasson Randle,"Rock Island, Illinois","41°29'21""N","90°34'23""W"
Sacramento Kings,Richaun Holmes,"Lockport, Illinois","41°35'25""N","88°01'45""W"
Cleveland Cavaliers,Darius Garland,"Gary, Indiana","41°35'44""N","87°20'43""W"
Philadelphia 76ers,Glenn Robinson III,"Gary, Indiana","41°35'44""N","87°20'43""W"
Miami Heat,Solomon Hill,"Harvey, Illinois","41°36'39""N","87°39'07""W"
Chicago Bulls,Max Strus,"Hickory Hills, Illinois","41°43'26""N","87°49'37""W"
Oklahoma City Thunder,Isaiah Roby,"Dixon, Illinois","41°50'46""N","89°29'06""W"
Phoenix Suns,Frank Kaminsky,"Winfield, Illinois","41°51'57""N","88°09'55""W"
Milwaukee Bucks,Sterling Brown,"Maywood, Illinois","41°52'52""N","87°50'36""W"
Cleveland Cavaliers,Alfonzo McKinnie,"Chicago, Illinois","41°52'55""N","87°37'40""W"
Detroit Pistons,Derrick Rose,"Chicago, Illinois","41°52'55""N","87°37'40""W"
Los Angeles Clippers,Patrick Beverly,"Chicago, Illinois","41°52'55""N","87°37'40""W"
Los Angeles Lakers,Anthony Davis,"Chicago, Illinois","41°52'55""N","87°37'40""W"
